iter	RMSE
307	0.7863778694
308	0.7862206568
309	0.7859882723
310	0.7858043383
311	0.7856121749
312	0.7852636254
313	0.7851629871
314	0.7848866625
315	0.7846898164
316	0.7845153298
317	0.7843118872
318	0.7841533585
319	0.783909529
320	0.7836122567
321	0.7834962894
322	0.7832872938
323	0.7832205603
324	0.783099552
325	0.7828976709
326	0.7827697246
327	0.7822784792
328	0.7820949833
329	0.7818829115
330	0.7817214718
331	0.7814570906
332	0.7812867268
333	0.7809898564
334	0.7809777956
335	0.7807656438
336	0.7805683362
337	0.780361637
338	0.7800024565
339	0.7797826732
340	0.7795678796
341	0.7792989643
342	0.7791243818
343	0.7789981686
344	0.7784744369
345	0.7782221245
346	0.7779803598
347	0.7778492076
348	0.777582242
349	0.7773501672
350	0.7771858794
351	0.7769389564
352	0.7766596002
353	0.7765162326
354	0.7763918254
355	0.7763243305
356	0.7761664935
357	0.7757833004
358	0.7756605775
359	0.7754567505
360	0.7752556991
361	0.775097309
362	0.774859527
363	0.7746024433
364	0.7744673921
365	0.7742501234
366	0.7741953483
367	0.7740755351
368	0.7738353705
369	0.7736691338
370	0.7734707131
371	0.7733924265
372	0.7732210219
373	0.7729254595
374	0.7727035357
375	0.7724654978
376	0.7723798651
377	0.7721134048
378	0.771840896
379	0.771706612
380	0.7715022538
381	0.7714060624
382	0.7712980341
383	0.7709894396
384	0.770560264
385	0.7704509588
386	0.7703644592
387	0.7702673103
388	0.7701277757
389	0.7699264582
390	0.7698429527
391	0.7696296422
392	0.7694717567
393	0.7693832997
394	0.7690006278
395	0.7689426521
396	0.7686842461
397	0.7685750985
398	0.7684045761
399	0.7681917421
400	0.7679248188
401	0.767677408
402	0.7674946975
403	0.7672182576
404	0.7669926422
405	0.766680716
406	0.766504804
407	0.766210231
408	0.766066177
409	0.7657724751
410	0.7654963706
411	0.7653143661
412	0.7652256146
413	0.7649733489
414	0.7646859006
415	0.7646189807
416	0.7643626121
417	0.7642120707
418	0.764111548
419	0.7639154008
420	0.7638242232
421	0.7635346146
422	0.7631952656
423	0.7629907025
424	0.7628811741
425	0.7626696602
426	0.7625225273
427	0.7622200358
428	0.7620470908
429	0.7620468519
430	0.7616811716
431	0.7613877367
432	0.7611872213
433	0.7610776153
434	0.76086209
435	0.7607937319
436	0.7604815512
437	0.7602524369
438	0.7600176192
439	0.7598277336
440	0.7597105832
441	0.759647916
442	0.7594271949
443	0.7590141205
444	0.7588457201
445	0.7584793478
446	0.758144205
447	0.7578308544
448	0.7577222365
449	0.7576187807
450	0.7573894988
451	0.7573612366
452	0.7572930005
453	0.7571584537
454	0.7570046087
455	0.7567874526
456	0.7565083993
457	0.756340007
458	0.7559219118
459	0.7557891489
460	0.755593812
